Year,Country,Ciprofloxacin,cip_sr,Antibiotic
1996,10,0.5,0,0
1997,10,16.0,1,0
1998,10,0.016,0,0
2000,10,0.5,0,0
2001,10,0.063,0,0
2001,10,0.004,0,0
2001,10,16.0,1,0
2001,10,0.004,0,0
2001,10,0.032,0,0
2001,10,64.0,1,0
2001,10,0.25,0,0
2001,10,16.0,1,0
2002,10,0.032,0,0
2004,10,0.004,0,0
2005,10,0.004,0,0
2005,10,0.008,0,0
2005,10,8.0,1,0
2005,10,16.0,1,0
2005,10,0.016,0,0
2005,10,0.016,0,0
2006,10,1.0,0,0
2006,10,0.004,0,0
2006,10,2.0,1,0
2006,10,2.0,1,0
2006,10,4.0,1,0
2006,10,16.0,1,0
2006,10,4.0,1,0
2006,10,8.0,1,0
2006,10,16.0,1,0
2006,10,4.0,1,0
2006,10,16.0,1,0
2006,10,32.0,1,0
2007,10,4.0,1,0
2007,10,0.016,0,0
2007,10,64.0,1,0
2008,10,16.0,1,0
2007,10,16.0,1,0
2007,10,16.0,1,0
2008,10,16.0,1,0
2008,10,16.0,1,0
2008,10,16.0,1,0
2008,10,16.0,1,0
2008,10,32.0,1,0
2008,10,16.0,1,0
2008,10,16.0,1,0
2009,10,16.0,1,0
2009,10,16.0,1,0
2009,10,16.0,1,0
2009,10,16.0,1,0
2009,10,16.0,1,0
2009,10,16.0,1,0
2009,10,8.0,1,0
2009,10,16.0,1,0
2010,10,0.125,0,0
2010,10,0.002,0,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,8.0,1,0
2009,10,0.008,0,0
2010,10,0.004,0,0
2010,10,8.0,1,0
2010,10,4.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,0.004,0,0
2010,10,16.0,1,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2010,10,0.002,0,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2011,10,0.004,0,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2011,10,16.0,1,0
2011,10,4.0,1,0
2011,10,0.004,0,0
2011,10,0.002,0,0
2011,10,0.002,0,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,0.002,0,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2010,10,0.004,0,0
2011,10,0.004,0,0
2011,10,0.004,0,0
2011,10,4.0,1,0
2011,10,4.0,1,0
2011,10,16.0,1,0
2011,10,16.0,1,0
2011,10,4.0,1,0
2011,10,16.0,1,0
2011,10,4.0,1,0
2012,10,16.0,1,0
2012,10,16.0,1,0
2012,10,16.0,1,0
2011,10,4.0,1,0
2011,10,0.004,0,0
2011,10,8.0,1,0
2012,10,8.0,1,0
2012,10,0.002,0,0
2011,10,0.004,0,0
2011,10,0.008,0,0
2011,10,0.004,0,0
2011,10,0.004,0,0
2011,10,0.004,0,0
2011,10,0.004,0,0
2011,10,8.0,1,0
2011,10,16.0,1,0
2011,10,0.004,0,0
2012,10,16.0,1,0
2012,10,8.0,1,0
2012,10,16.0,1,0
2012,10,16.0,1,0
2012,10,8.0,1,0
2012,10,8.0,1,0
2012,10,8.0,1,0
2012,10,16.0,1,0
2012,10,8.0,1,0
2012,10,16.0,1,0
2009,10,16.0,1,0
2009,10,32.0,1,0
2009,10,32.0,1,0
2009,10,32.0,1,0
2009,10,16.0,1,0
2010,10,0.016,0,0
2010,10,0.004,0,0
2011,10,0.004,0,0
2012,10,0.004,0,0
2012,10,0.002,0,0
2012,10,0.004,0,0
2012,10,0.004,0,0
2013,10,0.002,0,0
2012,10,0.004,0,0
1994,10,0.016,0,0
1998,10,0.016,0,0
2004,10,64.0,1,0
2005,10,16.0,1,0
2006,10,16.0,1,0
2008,10,4.0,1,0
2009,10,4.0,1,0
2009,10,0.004,0,0
2010,10,0.125,0,0
2010,10,32.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,16.0,1,0
2010,10,4.0,1,0
2012,10,16.0,1,0
2011,10,0.004,0,0
2012,19,16.0,1,0
2012,10,16.0,1,0
1989,10,0.032,0,0
2013,51,2.0,1,0
2013,51,32.0,1,0
2013,51,0.003,0,0
2013,51,0.007,0,0
2013,51,0.023,0,0
2013,51,16.0,1,0
2013,51,32.0,1,0
2013,51,16.0,1,0
2013,51,16.0,1,0
2013,51,4.0,1,0
2013,51,16.0,1,0
2013,51,0.007,0,0
2013,51,0.007,0,0
2013,51,0.007,0,0
2013,51,16.0,1,0
2013,51,16.0,1,0
2013,51,16.0,1,0
2013,51,32.0,1,0
2013,51,0.015,0,0
2013,51,0.007,0,0
2013,51,16.0,1,0
2013,51,0.007,0,0
2013,51,2.0,1,0
2013,51,0.007,0,0
2013,51,16.0,1,0
2013,51,16.0,1,0
2013,51,0.007,0,0
2013,51,0.007,0,0
2013,51,0.015,0,0
2013,51,0.015,0,0
2013,51,8.0,1,0
2013,51,0.015,0,0
2013,51,0.007,0,0
2013,51,8.0,1,0
2013,51,16.0,1,0
2013,51,8.0,1,0
2013,51,32.0,1,0
2013,51,32.0,1,0
2013,51,32.0,1,0
2013,51,0.012,0,0
2013,51,0.008,0,0
2013,51,32.0,1,0
2013,51,0.003,0,0
2013,51,32.0,1,0
2013,51,16.0,1,0
2013,51,0.007,0,0
2013,51,32.0,1,0
2013,51,0.007,0,0
2013,30,32.0,1,0
2013,30,0.004,0,0
2013,30,0.004,0,0
2013,30,0.012,0,0
2013,30,0.006,0,0
2013,30,0.006,0,0
2013,30,0.004,0,0
2013,30,0.004,0,0
2013,30,0.003,0,0
2013,30,32.0,1,0
2013,30,32.0,1,0
2013,30,1.0,0,0
2013,30,32.0,1,0
2013,30,0.003,0,0
2013,30,32.0,1,0
2013,30,1.0,0,0
2013,30,32.0,1,0
2013,30,0.002,0,0
2013,30,0.003,0,0
2013,30,0.008,0,0
2013,30,12.0,1,0
2013,30,0.008,0,0
2013,48,24.0,1,0
2013,48,0.002,0,0
2013,26,0.003,0,0
2013,48,0.003,0,0
2013,48,0.003,0,0
2013,55,0.003,0,0
2013,55,0.003,0,0
2013,55,0.002,0,0
2013,55,32.0,1,0
2013,55,0.012,0,0
2013,55,0.003,0,0
2013,55,4.0,1,0
2013,55,3.0,1,0
2013,55,1.5,1,0
2013,5,1.0,0,0
2013,5,16.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,8.0,1,0
2013,5,2.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,4.0,1,0
2013,5,1.0,0,0
2013,5,8.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,8.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,8.0,1,0
2013,5,16.0,1,0
2013,5,2.0,1,0
2013,5,0.004,0,0
2013,5,16.0,1,0
2013,5,8.0,1,0
2013,5,16.0,1,0
2013,5,16.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,8.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,0.002,0,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,5,2.0,1,0
2013,5,16.0,1,0
2013,5,4.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,5,0.004,0,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,0.006,0,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,5,16.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,4.0,1,0
2013,22,32.0,1,0
2013,22,0.006,0,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,5,0.004,0,0
2013,22,32.0,1,0
2013,22,12.0,1,0
2013,22,32.0,1,0
2013,22,0.006,0,0
2013,22,0.006,0,0
2013,22,0.006,0,0
2013,22,0.006,0,0
2013,52,6.0,1,0
2013,52,6.0,1,0
2013,15,0.003,0,0
2013,5,8.0,1,0
2013,15,3.0,1,0
2013,15,0.003,0,0
2013,15,32.0,1,0
2013,15,32.0,1,0
2013,15,32.0,1,0
2013,15,0.004,0,0
2013,5,0.004,0,0
2013,15,0.002,0,0
2013,22,0.008,0,0
2013,15,0.003,0,0
2013,30,32.0,1,0
2013,49,0.003,0,0
2013,15,32.0,1,0
2013,15,0.5,0,0
2013,15,32.0,1,0
2013,15,6.0,1,0
2013,15,0.003,0,0
2013,15,3.0,1,0
2013,15,0.004,0,0
2013,15,0.003,0,0
2013,15,0.004,0,0
2013,15,0.003,0,0
2013,15,32.0,1,0
2013,15,0.003,0,0
2013,15,32.0,1,0
2013,15,0.004,0,0
2013,15,32.0,1,0
2013,15,32.0,1,0
2013,15,0.75,0,0
2013,15,0.004,0,0
2013,15,32.0,1,0
2013,15,0.003,0,0
2013,15,16.0,1,0
2013,15,0.003,0,0
2013,15,0.004,0,0
2013,15,0.008,0,0
2013,15,0.006,0,0
2013,15,0.004,0,0
2013,15,0.004,0,0
2013,15,32.0,1,0
2013,15,2.0,1,0
2013,52,32.0,1,0
2013,52,0.012,0,0
2013,52,8.0,1,0
2013,52,12.0,1,0
2013,15,32.0,1,0
2013,52,4.0,1,0
2013,52,0.016,0,0
2013,52,32.0,1,0
2013,52,0.006,0,0
2013,52,32.0,1,0
2013,52,0.016,0,0
2013,52,0.004,0,0
2013,52,0.006,0,0
2013,52,32.0,1,0
2013,52,32.0,1,0
2013,15,0.003,0,0
2013,52,6.0,1,0
2013,52,0.006,0,0
2013,52,3.0,1,0
2013,52,32.0,1,0
2013,52,32.0,1,0
2013,52,0.004,0,0
2013,52,0.006,0,0
2013,52,0.003,0,0
2013,52,3.0,1,0
2013,52,0.004,0,0
2013,15,3.0,1,0
2013,52,32.0,1,0
2013,52,0.016,0,0
2013,52,4.0,1,0
2013,22,0.006,0,0
2013,22,0.016,0,0
2013,22,0.016,0,0
2013,22,32.0,1,0
2013,52,8.0,1,0
2013,15,0.5,0,0
2013,52,2.0,1,0
2013,52,2.0,1,0
2013,52,32.0,1,0
2013,52,2.0,1,0
2013,52,32.0,1,0
2013,15,0.003,0,0
2013,49,0.008,0,0
2013,5,8.0,1,0
2013,5,8.0,1,0
2013,5,8.0,1,0
2013,5,8.0,1,0
2013,5,4.0,1,0
2013,5,0.004,0,0
2013,5,0.015,0,0
2013,5,4.0,1,0
2013,15,32.0,1,0
2013,5,4.0,1,0
2013,5,0.004,0,0
2013,5,0.004,0,0
2013,55,32.0,1,0
2013,55,0.003,0,0
2013,55,0.012,0,0
2013,55,0.006,0,0
2013,55,0.003,0,0
2013,55,0.004,0,0
2013,55,0.003,0,0
2013,55,0.012,0,0
2013,55,0.003,0,0
2013,55,0.003,0,0
2013,55,0.004,0,0
2013,55,32.0,1,0
2013,55,12.0,1,0
2013,55,0.008,0,0
2013,55,3.0,1,0
2013,55,4.0,1,0
2013,55,3.0,1,0
2013,55,0.004,0,0
2013,55,0.008,0,0
2013,55,0.002,0,0
2013,55,0.003,0,0
2013,55,0.002,0,0
2013,55,0.002,0,0
2013,55,0.003,0,0
2013,55,0.004,0,0
2013,55,0.003,0,0
2013,55,0.023,0,0
2013,55,0.002,0,0
2013,55,8.0,1,0
2013,55,0.004,0,0
2013,55,0.003,0,0
2013,55,24.0,1,0
2013,55,16.0,1,0
2013,55,32.0,1,0
2013,55,0.003,0,0
2013,55,0.003,0,0
2013,55,0.002,0,0
2013,55,0.012,0,0
2013,55,0.016,0,0
2013,55,0.003,0,0
2013,55,32.0,1,0
2013,55,16.0,1,0
2013,55,0.008,0,0
2013,55,0.003,0,0
2013,55,12.0,1,0
2013,55,8.0,1,0
2013,55,0.004,0,0
2013,55,0.002,0,0
2013,55,12.0,1,0
2013,55,0.003,0,0
2013,55,0.75,0,0
2013,55,0.004,0,0
2013,52,0.006,0,0
2013,52,32.0,1,0
2013,55,32.0,1,0
2013,52,32.0,1,0
2013,52,0.004,0,0
2013,52,0.004,0,0
2013,52,32.0,1,0
2013,52,12.0,1,0
2013,52,0.004,0,0
2013,52,0.004,0,0
2013,52,0.004,0,0
2013,52,0.004,0,0
2013,52,0.004,0,0
2013,55,3.0,1,0
2013,52,4.0,1,0
2013,52,0.004,0,0
2013,22,0.006,0,0
2013,22,32.0,1,0
2013,22,0.023,0,0
2013,22,32.0,1,0
2013,22,32.0,1,0
2013,52,0.032,0,0
2013,22,0.006,0,0
2013,22,32.0,1,0
2013,55,32.0,1,0
2013,22,32.0,1,0
2013,22,0.008,0,0
2013,22,0.008,0,0
2013,15,0.002,0,0
2013,15,0.004,0,0
2013,15,32.0,1,0
2013,15,32.0,1,0
2013,15,32.0,1,0
2013,15,0.003,0,0
2013,15,2.0,1,0
2013,55,16.0,1,0
2013,15,0.002,0,0
2013,15,0.004,0,0
2013,15,2.0,1,0
2013,15,8.0,1,0
2013,27,8.0,1,0
2013,27,0.008,0,0
2013,27,32.0,1,0
2013,27,0.003,0,0
2013,27,0.002,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,4.0,1,0
2013,57,16.0,1,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,2.0,1,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.06,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,8.0,1,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,0.03,0,0
2013,57,16.0,1,0
2013,57,16.0,1,0
